City,Successful,Unsuccessful,Not Reported
Akiachak,3,0,3
Akiak,0,0,0
Akutan,1,0,0
Aleknagik,5,0,3
Alexander Creek,1,0,0
Allakaket,0,0,0
Ambler,3,0,0
Anchor Point,15,5,9
Anchorage,298,214,438
Anderson,0,0,5
Aniak,8,3,8
Atmautluak,0,0,0
Auke Bay,3,2,4
Barrow,0,1,0
Beaver,0,0,0
Bethel,31,4,14
Bettles Field,0,0,0
Big Lake,17,4,13
Bird Creek,0,0,0
Cantwell,0,0,3
Central,0,4,5
Charles Point,0,0,0
Chefornak,2,0,0
Chenega Bay,0,1,0
Chevak,0,0,1
Chickaloon,0,0,0
Chicken,0,1,1
Chignik,0,0,0
Chignik Lagoon,1,0,0
Chignik Lake,0,0,0
Chiniak,0,1,0
Chistochina,0,0,1
Chitina,0,0,0
Chuathbaluk,0,0,1
Chugiak,28,29,48
Circle,0,0,1
Clam Gulch,2,0,2
Clarks Point,0,0,0
Clear,0,0,1
Cold Bay,1,1,0
Coldfoot,0,0,0
Cooper Landing,2,0,3
Copper Center,0,2,5
Cordova,0,0,4
Craig,1,1,4
Crooked Creek,0,0,0
Delta Jct,4,6,26
Denali Park,0,1,2
Dillingham,44,23,51
Douglas,0,2,3
Dutch Harbor,14,1,0
Eagle,0,0,4
Eagle River,96,60,133
Eek,5,0,0
Eielson Afb,25,28,30
Eklutna,4,0,1
Ekwok,3,1,2
Elfin Cove,0,0,1
Elmendorf Afb,18,6,16
Ester,4,2,16
Fairbanks,138,172,510
Farewell,0,0,0
Fort Greely,0,2,4
Fort Richardson,3,4,10
Fort Wainwright,15,14,9
Fort Yukon,0,1,1
Fox,0,1,4
Fritz Creek,0,0,1
Gakona,3,1,2
Galena,0,1,3
Girdwood,1,4,8
Glacier View,0,0,1
Glennallen,1,1,2
Goodnews Bay,0,0,0
Gulkana,0,0,1
Gustavus,2,3,1
Haines,0,5,11
Healy,0,2,16
Hollis,0,0,1
Holy Cross,0,0,0
Homer,14,5,33
Hoonah,0,1,2
Hooper Bay,1,0,0
Hope,0,2,1
Houston,2,3,6
Huslia,0,0,0
Igiugig,0,0,0
Iliamna,0,2,0
Indian,3,0,1
Juneau,44,12,23
Kaktovik,0,0,0
Kalskag,0,0,0
Kashwitna,0,0,0
Kasigluk,2,0,0
Kasilof,22,4,15
Kenai,45,13,43
Kenny Lake,0,1,0
Ketchikan,11,7,14
Kiana,0,0,0
King Cove,2,2,1
King Salmon,4,1,12
Kipnuk,1,0,0
Knik,0,1,1
Kodiak,22,11,27
Kokhanok,0,0,0
Koliganek,2,0,2
Kongiganak,1,0,0
Kotlik,0,0,0
Kotzebue,3,0,1
Koyuk,0,0,0
Kwethluk,1,0,0
Kwigillingok,0,0,0
Larsen Bay,0,0,1
Lime Village,0,0,0
Livengood,0,0,0
Lower Kalskag,1,1,2
Manley Hot Springs,0,0,4
Manokotak,2,1,2
Mcgrath,1,2,3
Meadow Lakes,0,1,0
Mekoryuk,1,0,0
Meyers Chuck,0,0,0
Moose Pass,1,0,5
Mountain Village,0,0,0
Nabesna,0,0,1
Naknek,10,5,4
Napakiak,9,1,0
Napaskiak,0,1,0
Nelchina,0,0,0
Nenana,0,0,1
New Stuyahok,4,1,1
Newhalen,0,0,0
Newtok,0,0,1
Nightmute,2,0,1
Nikiski,9,7,11
Nikolaevsk,0,0,3
Nikolai,2,0,2
Ninilchik,1,4,9
Nome,1,0,0
Nondalton,4,0,1
North Pole,76,82,218
Northway,0,0,1
Nunapitchuk,1,0,2
Palmer,41,40,108
Paxson,0,1,0
Pedro Bay,1,0,1
Peters Creek,3,0,4
Petersburg,9,3,6
Pilot Station,0,0,0
Platinum,0,0,0
Point Hope,0,0,0
Port Alsworth,0,0,2
Port Lions,0,0,1
Port Moller,0,0,0
Prudhoe Bay,0,0,1
Quinhagak,5,0,0
Red Devil,1,0,1
Russian Mission,0,1,0
Salcha,13,2,24
Sand Point,0,0,0
Scammon Bay,0,0,0
Selawik,0,0,0
Seldovia,0,1,2
Seward,5,3,15
Shageluk,0,0,0
Sheldon Point,0,0,0
Shishmaref,0,0,0
Shungnak,0,0,0
Sitka,8,5,8
Skagway,0,1,2
Skwentna,0,0,2
Slana,0,0,2
Sleetmute,0,2,3
Soldotna,63,22,92
South Naknek,0,0,0
St Marys,2,0,0
Stebbins,0,0,1
Sterling,13,8,26
Stony River,0,0,0
Sutton,3,2,1
Takotna,0,0,1
Talkeetna,4,4,11
Tanana,0,3,3
Tenakee Springs,0,0,0
Thorne Bay,7,0,1
Togiak,4,0,3
Tok,5,11,23
Toksook Bay,5,0,0
Trapper Creek,0,0,2
Tuluksak,0,0,0
Tuntutuliak,2,1,2
Tununak,0,1,0
Twin Hills,1,0,0
Two Rivers,2,0,15
Unalakleet,0,0,0
Unalaska,0,0,0
Valdez,9,4,17
Wainwright,0,1,1
Ward Cove,0,0,3
Wasilla,113,70,215
Willow,6,5,16
Wiseman,6,0,1
Wrangell,0,3,1
Yakutat,0,0,1
